id,ecotype,trait1,trait2,trait3
1,headland,1.375485217355604,1.487433021977733,0.7411759711024556
2,dune,0.6240836314395277,-0.46181976925136914,0.02482493610466313
3,dune,0.8517035425319701,-2.7474514620590313,0.3945943863610287
4,dune,0.0025390241490637067,-0.49575115306462525,0.9638497319126075
5,dune,-0.6596542546660136,-1.089915946348281,-0.6420572934585828
6,headland,0.019134398263180336,0.21545055494208973,-0.09686552948875572
7,headland,-0.4620328457339312,-0.9976312956486245,-0.2006976171001515
8,dune,1.241225998001911,1.2091896687006805,-0.22875453496493295
9,headland,0.10525745286818278,-1.0622170409417362,-0.5947739124525049
10,headland,-1.9733951668734777,0.46357445177700074,0.36051643996058097
11,headland,0.8661455412545974,0.8727397170391445,2.0180698282419396
12,dune,1.8388261310681422,-1.2835801546195695,0.05211254338389601
13,headland,-0.26531900077626724,-0.15504695851228387,-1.0806095934856388
14,dune,1.5276905538841412,-0.021744868673709283,-0.1593197350909267
15,headland,0.2638983905870288,0.05134087634683048,-1.2111289660408115
16,headland,0.09748098429246574,0.27514001867164906,-0.33735886324064335
17,headland,-0.9329215407712835,-0.8819136170482255,0.49891071318856667
18,dune,-0.3265295851263153,-2.5347014278043547,-0.12346009597619748
19,headland,1.0934184583758135,0.8688622226691697,1.2372796331645675
20,headland,-2.119631889166451,0.2094277221022934,-0.22517982540531456
21,dune,-1.448407819876947,0.33723406113702303,1.1376668721557968
22,dune,-0.881236726846262,-0.6989544191078291,0.11528290299730617
23,dune,-0.7251591856994941,-2.2206533728187865,-1.597584012408883
24,headland,-0.08740027849567217,-0.9430869254499031,-0.18954652823008966
25,dune,1.6929384072463767,0.6161570504933879,0.4338811862690789
26,dune,1.8247512807222945,0.7504711295023233,-1.261467306060572
27,dune,-0.23920755111394937,0.20337645256696077,-0.580092826973075
28,headland,0.3472910316947345,0.2554397754271609,0.9814628729799499
29,headland,1.0498870310489772,2.0621779547348593,0.24705100682300973
30,headland,-1.5581791630440818,-0.9761060465178909,-0.6524834671351238
31,headland,-0.5582632082849622,0.6990215601742048,2.0206370018656212
32,headland,1.968525769254688,1.3023877456496034,1.2070017147633905
33,dune,-0.9962865301574302,1.3932750750163552,0.6440790581963299
34,headland,-0.6734117822146718,1.2394085114978466,-0.1636848183203909
35,headland,1.0772117175352718,1.1614645901541247,0.04770570561667968
36,dune,-0.5889191915485497,-1.1199581192953965,0.5447001964277935
37,headland,-0.4915031149654273,1.5910553870762407,0.008898935281112519
38,headland,1.2653290851943721,0.8644046936485575,0.7070809277218796
39,dune,-1.9380659910391282,-1.1974658163175027,-0.2460186765474959
40,headland,1.4263655597945226,0.4516644944352388,0.1660837541790961
41,dune,0.4994142926665792,-0.011514210981562328,0.8256795962385383
42,headland,-0.5482060186575012,1.5335373127139393,-1.633578620425794
43,dune,-0.36557852046728484,-0.06342995473053517,-0.8987244956985797
44,headland,-1.2262705293803746,1.169372118554779,0.16881978822964155
45,dune,-0.7193643943717964,-1.1122480879318037,0.5196016619126971
46,dune,-1.3462682049947758,-2.82112893876,-0.609528607323163
47,dune,-1.0490652239963703,-1.1292791811294647,0.7527483717470485
48,dune,-0.5896762223268408,1.799357123277368,-1.680029657859841
49,dune,1.5651553439149837,1.2281799261455695,-0.6738226681566389
50,dune,0.26527376034883426,-0.46956659799008815,0.5883334340310394
51,dune,0.5170681745224535,2.7718296178286304,-0.5944800590668841
52,dune,0.9508328231365146,0.00226750530420583,0.47059472835346916
53,dune,1.4576290687898021,-0.2632812448405517,-1.2992637003186935
54,dune,0.7534702483343212,-1.8036644168820262,0.8551383978501748
55,headland,-0.3227107216792017,-0.5356039832674119,-1.5912427005205372
56,dune,-0.8675545260300865,-0.32855625317964743,0.9002769075949825
57,headland,1.7177409446240124,0.020437826079896207,0.8641858026607345
58,headland,1.7205360945566914,1.6442246201120678,-0.7348434952599328
59,dune,0.010188260082603429,1.0394622055990612,1.412431628462591
60,headland,0.6701985863132156,-0.9413904808570858,-0.863202295825436
61,dune,1.7663865914071104,0.7952129397771187,-0.3062801932018073
62,headland,-0.8150808543860275,-0.6839355963049559,1.1988903041042323
63,headland,0.5416291083293895,0.21125001629855744,0.2703794437891091
64,dune,0.5135948836165753,1.0609117059327688,-0.09673328004408469
65,dune,0.549828161818515,0.26673608594334763,0.25735484265887176
66,dune,-2.082223074863474,-0.6128355039960972,-0.783574634316926
67,dune,-1.342933926782218,-1.605588544412069,-0.57338910028432
68,headland,-0.6349895989166292,-0.09775677283890954,1.5077093975280351
69,headland,-0.3088643653176432,1.8519233574734426,-0.47790202765246176
70,dune,-0.37303533877191913,-1.1055425744227974,0.7020761919294628
71,dune,0.1614677535930611,-0.3886717832617449,-0.8066477373812947
72,headland,1.2874555235367233,1.50614168616023,0.8858078445488222
73,dune,0.23382340575073737,-1.5987446935834813,-1.362867737233043
74,headland,0.02084407445457051,1.0549202559033208,0.24980489317089205
75,dune,-0.21739503691925555,-0.2938625128434458,1.0798479283758993
76,dune,1.2329796795661412,-0.16211939405636958,1.1830100625532098
77,headland,0.11149818952885834,0.6461636068214552,0.029604042878592682
78,headland,-0.6476259595185496,-1.012043046378556,-0.41517194701621074
79,dune,1.6899168649428502,1.567763014391347,-0.004605252586572781
80,dune,0.33744767897150824,0.6708623492623195,0.4309879560617922
81,dune,-0.8066123952943816,-0.001928589050069901,-0.6527615274683584
82,headland,-0.34970460501546075,-0.010528401904550372,-0.5750028198395243
83,dune,0.6990115197723139,1.3237379610975475,0.7602340559176819
